English,Arabic
motherfuckers,الملاعين
artificial,صناعي
accomplish,ينجز
burial,دفن
lynn,لين
vow,نذر
bake,خبز
dvd,دي في دي
delhi,دلهي
em,م
dealers,التجار
e.,ه.
layer,طبقة
gown,ثوب
reid,ريد
countryside,الريف
cheaper,أرخص
devon,ديفون
ducks,البط
lethal,قاتلة
swan,بجعة
ropes,الحبال
identification,تعريف
susie,سوزي
prayed,صلى
volunteers,المتطوعين
remembering,التذكر
adopt,يتبنى
calvin,كالفين
worms,الديدان
consideration,اعتبار
bandits,قطاع الطرق
moses,موسى
lionel,ليونيل
non,غير
transplant,زرع
loneliness,الشعور بالوحدة
epic,ملحمي
gladly,بكل سرور
marcel,مارسيل
mon,الاثنين
frost,الصقيع
registration,تسجيل
constitution,دستور
roland,رولاند
claude,كلود
sock,جورب
buyer,المشتري
regulations,أنظمة
mimi,ميمي
accomplice,شريك
bounty,مكافأة
hotels,الفنادق
favors,تفضل
asylum,اللجوء
blunt,صريح
duel,مبارزة
niles,نايلز
consult,استشر
nevertheless,مع ذلك
au,الاتحاد الأفريقي
baba,بابا
hah,هاه
paths,المسارات
rides,ركوب الخيل
tray,صينية
cynthia,سينثيا
te,te
barrier,حاجز
supposedly,من المفترض
faggot,شاذ جنسيا
hunch,حدس
yacht,يخت
stain,بقع
thoughtful,مدروس
healed,شفيت
hairy,مشعر
kansas,كانساس
y-you,ذ-أنت
ambush,كمين
recommended,مُستَحسَن
meter,متر
lease,إيجار
climbed,صعد
nadia,نادية
apollo,أبولو
rogers,روجرز
politician,سياسي
rs,روبية
awaits,ينتظر
abraham,ابراهيم
evelyn,إيفلين
lined,مبطن
amazed,مندهش
lure,إغراء
lyrics,كلمات
pod,جراب
fran,فران
d.c.,العاصمة.
hulk,الهيكل
hyah,هيا
continuing,مستمر
goals,الأهداف
dc,العاصمة
owl,بُومَة
xena,زينا
compromised,مساومة
cane,قصب
avenge,انتقم
dexter,دكستر
notion,فكرة
tease,يضايق
doe,ظبية
slam,ضربة عنيفة
cheque,يفحص
baked,خبز
sought,طلب
racket,مضرب
rider,رايدر
exotic,غَرِيب
cory,كوري
extent,حد
eighth,ثامن
stack,كومة
wheat,قمح
kara,كارا
finch,عصفور
kin,أقرباء
klaus,كلاوس
surf,تصفح
kilometers,كيلومترات
rises,يرتفع
abused,سوء المعاملة
gerald,جيرالد
colours,الألوان
hath,لديه
marvin,مارفن
texts,النصوص
chester,تشيستر
bosses,الزعماء
laurie,لوري
arab,عربي
bumped,صدم
chili,الفلفل الحار
yah,نعم
diving,غوص
artie,آرتي
federation,الاتحاد
mulder,مولدر
techniques,التقنيات
untie,فك
hay,القش
conrad,كونراد
phony,زائف
brett,بريت
whack,اجتز
scored,سجل
oxford,أكسفورد
z,ض
wh,هل
sniper,قناص
noisy,صاخبة
framed,مؤطر
reflection,انعكاس
masks,أقنعة
wages,أجور
robe,رداء
waist,وَسَط
disappointment,خيبة أمل
voyage,رحلة
curry,كاري
oui,نعم
casualties,الضحايا
aaah,آآآه
grill,شواء
occupation,إشغال
freed,حرر
poems,قصائد
shin,شين
compliments,مجاملات
til,سمسم
define,يُعرِّف
urine,البول
facial,الوجه
p.a.,سنويا
brody,برودي
reject,يرفض
catches,المصيد
dances,رقصات
gemma,جيما
pinch,قرصة
ingredients,مكونات
ra,را
mini,mini
heel,كعب
adding,إضافة
bandit,قطاع الطرق
limo,ليموزين
spa,سبا
graves,القبور
listed,المدرجة
corpses,الجثث
matty,ماتي
judith,جوديث
banned,محظور
snaps,يستقر
cheeks,الخدين
ohio,أوهايو
pals,الزملاء
pilots,الطيارين
umm,أم
jonah,جونا
ironic,ساخر
mills,المطاحن
delivering,تسليم
coconut,جوزة الهند
acknowledge,يُقرّ
shuts,يغلق
sweden,السويد
hooray,مرحا
sip,رشفة
parks,الحدائق
meaningless,لا معنى له
awards,الجوائز
fade,يختفي
hiring,التوظيف
burton,بيرتون
fees,مصاريف
thoroughly,كاملاً
exhibition,معرض
spends,ينفق
denver,دنفر
80s,الثمانينيات
doris,دوريس
luther,لوثر
disappearance,اختفاء
madrid,مدريد
advised,ينصح
regina,ريجينا
supermarket,سوبر ماركت
hereby,بموجب هذا
pier,الرصيف
philadelphia,فيلادلفيا
christians,المسيحيين
psychology,علم النفس
trent,ترينت
keeper,حارس
detroit,ديترويت
su,su
associates,شركاء
gerry,جيري
marvellous,رائع
grudge,ضغينة
lid,غطاء
glow,يشع
towns,المدن
pawn,بيدق
edith,إديث
lu,لو
proposition,اقتراح
joker,مهرج
opposition,معارضة
jang,جانج
haley,هالي
hose,خرطوم
partnership,شراكة
usa,الولايات المتحدة الأمريكية
timmy,تيمي
whoops,عفوًا
porch,الشرفة
responding,الاستجابة
boil,يغلي
kneel,يركع
tammy,تامي
clumsy,مرتبك
rapid,سريع
xiao,شياو
janice,جانيس
roller,أسطوانة
thai,التايلاندية
garlic,ثوم
yelled,صاح
simone,سيموني
ammunition,ذخيرة
sushi,سوشي
shaft,رمح
definition,تعريف
ne,شمال شرق
notify,يخطر
brady,برادي
beasts,الوحوش
setup,يثبت
greed,جشع
dared,تجرأ
treaty,معاهدة
hike,رفع
dagger,خنجر
spine,العمود الفقري
detect,يكشف
chow,تشاو
des,قصر
handwriting,الكتابة اليدوية
mock,وهمية
challenging,صعبة
salon,صالون
virtue,فضيلة
shelly,شيلي
clap,صفق
med,ميد
sultan,سلطان
attraction,جاذبية
franco,فرانكو
courts,المحاكم
café,مقهى
peel,قشر
petrol,بنزين
disappears,يختفي
asset,أصل
warp,انفتل
traps,الفخاخ
appreciated,مُقدَّر
shook,هز
naval,البحرية
expand,يوسع
swine,الخنازير
jingle,جلجل
peach,خَوخ
filmed,تم تصويره
oughta,oughta
condom,الواقي الذكري
sadie,سادي
barbie,باربي
democratic,ديمقراطي
nerd,مجتهد
dancers,الراقصات
crook,المحتال
mack,ماك
grasp,يمسك
humiliating,مهين
lively,حية
fury,غضب
sensei,سنسي
elders,شيوخ
battlefield,ساحة المعركة
sticky,لزجة
glen,غلين
liu,ليو
reign,حكم
eugene,يوجين
stash,خبأ
shifts,التحولات
unlock,فتح
devices,الأجهزة
anita,أنيتا
foreigners,الأجانب
snacks,وجبات خفيفة
mint,نعناع
fuse,فتيل
manuel,مانويل
towers,أبراج
inheritance,الميراث
beckett,بيكيت
jewel,جوهرة
shells,قذائف
swept,اجتاحت
recognition,تعرُّف
shovel,مجرفة
ferry,العبارة
darren,دارين
misunderstood,يساء فهمها
portal,منفذ
atomic,الذري
javier,خافيير
ava,افا
kat,كات
ahhh,اه
5th,الخامس
increasing,زيادة
urban,حضري
bathing,الاستحمام
delight,فرحة
iot,com.iot
genes,الجينات
boundaries,حدود
caution,حذر
ellis,إليس
ike,ike
bites,لدغات
nude,ناقص
tidy,مرتب
tate,تيت
obligation,فرض
ari,آري
nasa,ناسا
spock,سبوك
marion,ماريون
this-,هذا-
jammed,محشور
sleeve,كم
classy,أنيق
fag,شاذ
angelo,Angelo
bradley,برادلي
bananas,الموز
ex-husband,الزوج السابق
saints,القديسين
confirmation,تأكيد
cyrus,سايروس
toni,توني
p.,ص.
finals,نهائيات
millionaire,مليونير
wired,سلكي
comet,المذنب
deb,ديب
acceptable,مقبول
waits,ينتظر
sufficient,كافٍ
cosmic,كوني
nolan,نولان
gabe,غابي
intellectual,مفكر
we,نحن
vomit,القيء
warmth,الدفء
magnum,ماغنوم
associated,مرتبط
alas,للأسف
offend,الإساءة
overwhelming,غامر
sherry,شيري
antoine,أنطوان
scars,ندوب
refrigerator,ثلاجة
instructor,مدرب
darrin,دارين
moms,الامهات
percy,بيرسي
laurel,الغار
sacrifices,التضحيات
representing,يمثل
drift,الانجراف
a,أ
po,ص
crappy,كربي
sidney,سيدني
depressing,محزن
lasts,يدوم
doom,الموت
milo,ميلو
cant,غير قادر
aisle,ممر
losses,خسائر
sh,ش
lacey,لاسي
casting,صب
trials,المحاكمات
demonstrate,يوضح
beggar,متسول
amounts,المبالغ
traced,تتبع
raven,غراب
heroic,بطولي
roar,هدير
queer,مثلي
uk,المملكة المتحدة
trump,ورقة رابحة
resignation,استقالة
newton,نيوتن
stacy,ستايسي
saul,شاول
madman,مجنون
poke,كزة
spicy,حار
swap,تبديل
sheer,محض
blink,وميض
steer,توجيه
males,ذكور
know-,يعرف-
ant,نملة
reform,إصلاح
mother-in-law,"حماة "" أم الزوج أو أم الزوجة"
properties,ملكيات
camps,المعسكرات
unemployed,غير موظف
interviewed,تمت مقابلته
vows,عهود
antique,العتيقة
il,ايل
puke,تقيؤ
hysterical,هستيري
taller,أطول
employment,توظيف
thats,هذا
agrees,يوافق
dodge,مراوغة
unite,اتحدوا
mule,بغل
locals,السكان المحليين
v.,ضد
neighbourhood,حيّ
hayes,هايز
bats,الخفافيش
beliefs,المعتقدات
spared,يدخر
liv,ليف
bunker,القبو
phenomenon,ظاهرة
hips,خَواصِر
camille,كميل
iv,رابعا
ng,نانوغرام
bridges,الجسور
ape,قرد
julius,يوليوس
bruises,كدمات
convict,مدان
18th,الثامن عشر
annoyed,متضايق
poured,سكب
Jun,يونيو
rookie,مبتدئ
camel,جمل
abe,آبي
chewing,مضغ
runner,عداء
hyun,هيون
probe,التحقيق
karate,الكاراتيه
grease,شحم
marta,مارتا
lone,وحيد
underestimate,نقلل
acres,فدان
carlton,كارلتون
hacked,اخترق
barber,حلاق
mining,التعدين
aged,مسن
designs,التصاميم
19th,التاسع عشر
onions,البصل
stray,طائشة
void,فارغ
slower,أبطأ
rabbi,حاخام
concerning,بخصوص
dixon,ديكسون
holt,هولت
mannix,مانكس
noted,ذُكر
dental,طب الأسنان
obama,أوباما
committing,ارتكاب
mm-mm,مم مم
explosions,انفجارات
seo,سيو
russ,روس
cavalry,سلاح الفرسان
lam,لام
bomber,مفجر
ruling,حكم
boiling,الغليان
irrelevant,عَرَضِيّ
savior,المنقذ
veil,حجاب
tramp,متشرد
deepest,أعمق
perfection,الكمال
iii,ثالثا
mentor,مُرشِد
enthusiasm,حماس
arena,الساحة
irresponsible,غير مسؤول
audio,صوتي
ga,الجا
initiative,مبادرة
sweaty,تفوح منه رائحة العرق
noel,نويل
distraction,إلهاء
parrot,ببغاء
steed,فرس
entertaining,مسلية
piggy,أصبع
pause,يوقف
acquaintance,معرفة
bedtime,وقت النوم
rail,السكك الحديدية
cowards,جبناء
lori,لوري
tossed,قذف
s.,ق.
steele,ستيل
waving,يلوح
banker,مصرفي
assassination,اغتيال
yeah.,نعم.
pairs,أزواج
purely,بحتة
temptation,إغواء
vibe,الاهتزاز
gong,غونغ
transformed,تحولت
crop,اقتصاص
21st,الحادي والعشرون
scrap,خردة
abigail,أبيجيل
dove,حمامة
sloppy,قذرة
atlanta,اتلانتا
10th,العاشر
lizard,سحلية
separation,الانفصال
intern,المتدرب
tab,فاتورة غير مدفوعة
psych,نفسية
ranks,صفوف
parish,أبرشية
booty,غنيمة
squeal,يصرخ
oooh,أوه
comb,مشط
bash,سحق
junkie,مدمن
rupert,روبرت
norm,القاعدة
carrier,الناقل
fatty,الدهنية
difficulties,الصعوبات
superb,رائع
tha,ثا
candidates,مرشحين
15th,الخامس عشر
refuge,لجأ
onion,بصل
pickup,يلتقط
spells,نوبات
wesley,ويسلي
carrington,كارينجتون
armies,الجيوش
senor,سينور
billie,بيلي
thirst,العطش
select,يختار
rendezvous,موعد
smiled,ابتسم
visa,فيزا
spice,التوابل
caller,المتصل
foods,الأطعمة
cunning,الماكرة
grunt,الناخر
knot,عقدة
hairs,الشعر
competitive,تنافسي
herb,عشب
mae,ماي
immune,منيع
stakes,حصص
kilos,كيلو
monks,الرهبان
70s,السبعينيات
gail,غيل
guinea,غينيا
invent,يخترع
elbow,مِرفَق
keller,كيلر
clowns,المهرجين
flown,جوا
7th,السابع
alter,تغيير
franz,فرانز
transportation,مواصلات
what-,ماذا-
lens,عدسة
alaska,ألاسكا
interference,تدخل
wont,متعود
weep,بكاء
clive,كليف
crooked,ملتوية
immigration,الهجرة
filth,رجس
momma,ماما
father-in-law,ووالد بالتبنى
cho,تشو
culprit,الجاني
innit,innit
magistrate,قاضي
m-,م-
womb,رحم
blossom,زهر
etc,إلخ
agony,عذاب
oz,أوقية
elementary,ابتدائي
seized,استولى
shack,كوخ
teen,في سن المراهقة
scrub,فرك
ruler,حاكم
mold,قالب
bitten,عض
was-,كان-
saves,يحفظ
bunk,سرير بطابقين
thor,ثور
republican,جمهوري
poirot,بوارو
aspect,وجه
relate,يتصل
flour,دقيق
nypd,nypd
biology,علم الأحياء
dusty,مغبر
felony,جناية
jax,جاكس
fundamental,أساسي
jai,جاي
successfully,بنجاح
potentially,يحتمل
donnie,دوني
condoms,الواقي الذكري
utter,مطلق
interrupted,تمت مقاطعته
er,إيه
devastated,مدمر
substitute,بديل
splash,دفقة
julio,جوليو
exile,المنفى
aspirin,أسبرين
12th,الثاني عشر
summit,قمة
beck,بيك
lent,الصوم الكبير
drone,بدون طيار
boyfriends,أصدقائهن
tango,رقصة التانغو
permanently,دائمًا
attempting,محاولة
know,يعرف
strawberry,الفراولة
self-defense,الدفاع عن النفس
overwhelmed,مُثقل
swift,سريع
creeps,تزحف
token,رمز مميز
temporarily,مؤقتا
heidi,هايدي
ninth,التاسع
conclusions,الاستنتاجات
joanna,جوانا
ira,إيرا
lining,بطانة
yuri,يوري
scoop,مغرفة
merlin,ميرلين
bridget,بريدجيت
shelby,شيلبي
hospitality,ضيافة
brooks,بروكس
survey,استطلاع
hunted,مطاردة
cozy,مريح
g.,ز.
recommendation,توصية
microphone,ميكروفون
toll,رسوم
reconsider,إعادة النظر
creaks,صرير
spear,حربة
ai,بالنيابة
clinton,كلينتون
baggage,أمتعة
facilities,مرافق
bangs,الانفجارات
claw,مخلب
mei,مي
jasper,يشب
borders,الحدود
australian,استرالي
colby,كولبي
boxer,ملاكم
whilst,بينما
misfortune,مصيبة
sights,مشاهد
loosen,تخفيف
gifted,موهوب
i--i,أنا -- أنا
involvement,المشاركة
affects,يؤثر
summon,استدعاء
wilderness,البرية
undo,تراجع
vietnamese,vietnamese
vanish,تختفي
dome,قبة
biting,عض
ronald,رونالد
texted,رسالة نصية
sage,حكيم
yummy,لذيذ
slack,الركود
weekly,أسبوعي
bushes,شجيرات
grandparents,الأجداد
like-,يحب-
henri,هنري
obtain,يحصل على
hart,هارت
adventures,مغامرات
eden,عدن
mild,خفيف
dom,دوم
blend,يمزج
chancellor,المستشار
businesses,الشركات
fritz,فريتز
brent,برنت
flirt,يعاكس
cooks,طهاة
carved,منحوتة
jumps,يقفز
psychiatric,نفسية
snuck,تسلل
raja,رجا
disappearing,تختفي
establishment,إنشاء
whales,الحيتان
lump,مقطوع
dwarf,قزم
environmental,بيئية
mam,مام
pint,نصف لتر
diplomatic,دبلوماسي
context,سياق
volunteered,تطوع
risked,خطر
gangs,العصابات
boost,يعزز
fax,فاكس
dante,دانتي
gaze,نظرة
rene,رينيه
jerome,جيروم
ungrateful,جاحد
donate,يتبرع
13th,الثالث عشر
grandchildren,أحفاد
represented,ممثلة
co,شركة
workin,com.workin
rm,جمهورية مقدونيا
presidential,الرئاسية
rental,تأجير
challenged,تحدى
julien,جوليان
feeds,يغذي
je,جي
vegetarian,نباتي
surprisingly,بشكل مدهش
iran,إيران
shrine,مزار
automatically,تلقائيا
timer,مؤقت
scouts,الكشافة
millie,ميلي
google,جوجل
dorm,النوم
athlete,رياضي
shiva,شيفا
robber,السارق
convent,دير
barb,شوكة
enters,يدخل
maps,خرائط
meth,ميث
ifyou,إذا كنت
fruits,الفواكه
colored,ملون
poppy,الخشخاش
metro,مترو
clarke,كلارك
scully,سكالي
conservative,محافظ
rates,معدلات
forged,مزورة
arrows,السهام
charley,تشارلي
dismiss,رفض
authorized,أذن
flows,يتدفق
grove,بستان
hen,دجاجة
hum,همم
exclaiming,مصيحا
sewing,خياطة
boards,لوحات
yes.,نعم.
shaped,على شكل
daughter-in-law,ابنة بالنسب
ammo,ذخيرة
typing,الكتابة
blades,شفرات
becca,بيكا
wo,وو
debris,حطام
luca,لوكا
cement,أسمنت
hamlet,قرية
nat,نات
communists,الشيوعيين
kitt,كيت
harassment,تحرش
missus,سيدتي
monitoring,يراقب
shaved,حلق
housekeeper,مدبرة المنزل
tribes,القبائل
vile,حقير
gotham,جوثام
ping,بينغ
cereal,رقائق الذرة
zoom,تكبير
irony,سخرية
14th,الرابع عشر
exceptional,استثنائية
slit,شق
ss,سس
despise,يحتقر
waltz,رقصة الفالس
humour,مزاح
crashes,تعطل
gu,غو
stammering,التأتأة
coaches,المدربين
joo,جو
await,انتظر
bryan,بريان
celebrated,احتفل
encouraged,شجعت
devils,الشياطين
gag,أسكت
verse,الآية
stalin,ستالين
iet,iet
babysitter,جليسة أطفال
pr,العلاقات العامة
distinguished,مميز
bauer,باور
wit,خفة دم
programmed,مبرمجة
bliss,النعيم
donny,دوني
elsa,إلسا
com,com
hides,يخفي
apartments,شقق
tipped,يميل
turf,العشب
tang,تانغ
tu,تو
discharged,تفريغها
psychologist,عالم نفسي
duh,دوه
delete,يمسح
jock,جوك
wrath,غضب
tutor,مدرس خاص
jurisdiction,الاختصاص
tubes,أنابيب
playground,ملعب
sew,خاط
nickel,النيكل
claws,مخالب
giants,العمالقة
daring,جريئة
peacefully,بسلام
rag,خرقة
caves,الكهوف
nikita,نيكيتا
stern,صارم
condolences,التعازي
ohhh,أوه
dearly,غاليا
humiliation,إذلال
cartoon,رسوم متحركة
disrespect,عدم الاحترام
so-,لذا-
shhh,صه
underworld,العالم السفلي
marble,رخام
lilly,ليلي
chun,تشون
curly,مجعد
judged,حكم
bidding,تقديم العطاءات
erased,تمحى
confuse,إرباك
masterpiece,تحفة
oppa,أبا
tow,يسحب
seduce,إغواء
bathtub,حوض الاستحمام
pets,حيوانات أليفة
bricks,الطوب
goa,غوا
hotter,أكثر سخونة
regime,النظام
batch,حزمة
m-i,م-ط
ramsay,رامزي
compartment,مقصورة
tackle,يتصدى
wage,الأجر
shines,يضيء
hustle,يسرع
km,كم
psst,psst
relatively,نسبياً
stoned,رجم
supernatural,خارق
darwin,داروين
yankee,يانكي
lang,لانج
taco,تاكو
charts,الرسوم البيانية
brigade,لواء
bikes,دراجات
merchandise,بضائع
gulf,الخليج
foam,رغوة
steals,يسرق
trusts,يثق
flock,قطيع
potion,جرعة
fiance,خطيبته
invincible,لا يقهر
compensation,تعويض
kettle,غلاية
stroll,نزهة
trish,تريش
brendan,بريندان
sane,عاقل
radius,نصف القطر
verify,يؤكد
medic,مسعف
peek,نظرة خاطفة
sewer,المجاري
vernon,فيرنون
callie,كالي
bbc,بي بي سي
hull,بدن
toad,الضفدع
powell,باول
moose,موس
stitch,غرزة
compass,بوصلة
dislike,لا يعجبني
stu,stu
rib,ضلع
pamela,باميلا
brace,دعامة
ban,حظر
thrust,التوجه
achievement,إنجاز
links,الروابط
denying,إنكار
newly,حديثا
sunk,غرقت
floyd,فلويد
creator,الخالق
mississippi,ميسيسيبي
artery,الشريان
buffy,بافي
distribution,توزيع
turk,تركي
stereo,ستيريو
ethel,اثيل
ark,تابوت
it.,هو - هي.
warner,تحذير
industries,الصناعات
melted,ذاب
cruz,كروز
labs,مختبرات
bluff,خدعة
bender,بندر
unbearable,لا يطاق
juicy,غض
eerie,غريب
ingrid,انغريد
mwah,مواه
freaky,فظيع
vip,vip
troop,القوات
footprints,آثار أقدام
dani,داني
pact,ميثاق
feelin,com.feelin
journalists,الصحفيين
grim,قاتمة
damien,داميان
frustrating,محبط
preparation,تحضير
denial,إنكار
flute,الناي
paddy,بادي
memo,مذكرة
canvas,قماش
fa,اتحاد كرة القدم
and-and,و-و
mccoy,مكوي
daly,يوميا
funky,جبان
kitten,هريرة
nicest,اجمل
deceive,خداع
negro,زنجي
chopped,المفروم
consultant,مستشار
rifles,بنادق
rays,أشعة
architecture,بنيان
gideon,جدعون
butch,بوتش
warmer,أكثر دفئا
contribution,مساهمة
advisor,مستشار
behaved,تصرف
experiencing,تجربة
yοu,أنت
unacceptable,غير مقبول
briggs,بريجز
ethics,أخلاق مهنية
gibson,جيبسون
burgers,البرغر
knots,عقدة
broom,مكنسة
curve,منحنى
applauding,يصفق
whites,البيض
app,برنامج
andrews,أندروز
blog,مدونة
ox,ثور
vase,مزهرية
glance,يلمح
collective,الجماعية
poles,أقطاب
sixty,ستين
motherfucking,موظر
nder,nder
complained,اشتكى
willow,الصفصاف
preliminary,تمهيدي
server,الخادم
mat,حصيرة
appreciation,تقدير
a-a,أ-أ
jorge,خورخي
processing,يعالج
naples,نابولي
high-pitched,عالية النبرة
goats,الماعز
smokes,يدخن
introduction,مقدمة
valid,صالح
portuguese,البرتغالية
negotiations,المفاوضات
o.r.,أو.
iove,iove
barge,بارجة
wah,واه
tigers,النمور
brothel,بيت دعارة
ashore,الشاطئ
panda,الباندا
discretion,تقدير
yale,ييل
disappointing,مخيب للآمال
insect,حشرة
wanda,واندا
absent,غائب
carrot,جزرة
greene,غرين
suggestions,اقتراحات
puff,نفخة
supportive,داعمة
lulu,لولو
intervention,تدخل
layers,طبقات
hughes,هيوز
libby,ليبي
accusations,الاتهامات
8th,الثامن
accounting,محاسبة
jj,jj
strap,حزام
fitz,فيتز
darryl,داريل
butts,بأعقاب
approaches,النهج
flags,الأعلام
embarrassment,إحراج
faking,تزوير
jamal,جمال
grapes,العنب
beacon,منارة
handkerchief,منديل
flora,النباتات
cuban,الكوبي
polar,القطبية
translator,مترجم
alf,ألف
brotherhood,الأخوة
ernest,إرنست
professionals,المهنيين
yuan,يوان
understandable,مفهومة
banner,راية
thuds,جلطات
sa,سا
pearls,اللؤلؤ
brien,برين
addison,أديسون
syrup,شراب
cartel,كارتل
nash,ناش
walsh,والش
norma,نورما
unpredictable,لا يمكن التنبؤ به
wagner,فاغنر
suspension,تعليق
stamps,الطوابع
transition,انتقال
peas,البازلاء
k.,ك.
comparison,مقارنة
coats,معاطف
islam,الإسلام
thugs,البلطجية
grams,جرام
banquet,مأدبة
coup,انقلاب
shaken,اهتزت
investigations,التحقيقات
toothbrush,فرشاة الأسنان
vulgar,مبتذلة
haunt,تطارد
improvement,تحسين
zeus,زيوس
kirby,كيربي
jeong,jeong
ollie,ollie
bakery,مخبز
busting,خرق
investigated,التحقيق
60s,الستينيات
essay,مقال
depths,الأعماق
fewer,أقل
altered,تغيير
filing,الايداع
snatch,خطف
stored,مخزنة
dalton,دالتون
admired,معجب
priya,بريا
mamma,ماما
moe,مو
grind,طَحن
bombay,بومباي
he,هو
lowest,أدنى
makin,ماكين
mute,صامت
scratching,خدش
imprisoned,مسجون
danish,دانماركي
zhang,تشانغ
leah,ليا
finale,النهاية
tarzan,طرزان
storms,العواصف
sniff,شم
oh.,أوه.
me.,أنا.
slick,أملس
16th,السادس عشر
vent,تنفيس
dd,د
breakthrough,اختراق
stud,عشيق
procedures,إجراءات
ching,تشينغ
dine,تناول العشاء
draws,توجه
crowds,الحشود
limb,طرف
wool,صوف
jerks,الهزات
numb,مُخَدَّر
oceans,المحيطات
commanding,آمر
merci,رحمة
gerard,جيرارد
packs,حزم
parlor,صالون
cabbage,كرنب
josé,خوسيه
considerable,كبير
argued,جادل
tellin,تيلين
pupils,التلاميذ
positively,بشكل إيجابي
igor,ايجور
traded,المتداولة
vague,غامض
partly,جزئيا
6th,السادس
lucia,لوسيا
stages,مراحل
um-,أم-
screenplay,سيناريو
rahul,راهول
ripe,ناضجة
clayton,كلايتون
decline,انخفاض
pennsylvania,بنسلفانيا
fang,فانغ
tens,عشرات
guv,guv
headmaster,مدير المدرسة
tenth,العاشر
seals,الأختام
peyton,بيتون
avoided,تم تجنبه
overlapping,متداخلة
yield,أَثْمَر
ads,إعلانات
quiz,لغز
mosque,مسجد
weaver,ويفر
stated,ذكر
vicki,فيكي
weirdo,غريب الأطوار
belongings,متاع
reservations,التحفظات
chilly,بارد
betsy,بيتسي
eldest,الاكبر
traditions,التقاليد
repeatedly,مرارا
pickle,مخلل
masses,الجماهير
frogs,الضفادع
crosses,الصلبان
arctic,القطب الشمالي
reinforcements,تعزيزات
roles,الأدوار
unsub,unsub
mixing,خلط
courier,ساعي
jeanne,جين
carrots,جزر
translated,مترجم
cigars,السيجار
manipulate,يتلَاعب ب
bun,كعكة
sly,خبيث
temperatures,درجات الحرارة
motto,شعار
moss,طحلب
yum,يم
yan,يان
requesting,يطلب
lava,الحمم البركانية
you.,أنت.
kris,كريس
noses,أنوف
tickle,دغدغة
ufo,جسم غامض
stacey,ستايسي
j.r.,ج.ر.
midst,وسط
tis,تيس
convenience,راحة
flashlight,مصباح يدوي
dewey,ديوي
bryce,بريس
cuff,صفعة
cosmos,الكون
curfew,حظر التجول
instructed,تعليمات
prague,براغ
q,س
streak,أثَر
equivalent,مقابل
fin,زعنفة
propaganda,دعاية
hilda,هيلدا
butterflies,الفراشات
fascinated,مفتون
jude,جود
miriam,ميريام
karan,كاران
condo,شقة
cripple,تشل
errand,مأمورية
in,في
halls,القاعات
harley,هارلي
ravi,رافي
sailed,أبحر
nico,نيكو
baking,الخبز
connecting,ربط
bourbon,بوربون
malone,مالون
bong,بونغ
tying,ربط
lists,القوائم
loans,القروض
manchester,مانشستر
briefly,باختصار
tessa,تيسا
unfinished,غير مكتمل
experimental,تجريبي
greeks,اليونانيين
lil,ليل
w-what,ث-ماذا
pike,رمح
liars,كذابون
slot,فتحة
17th,السابع عشر
amazon,أمازون
rapist,مغتصب
lisbon,لشبونة
reader,قارئ
roam,تجول
openly,علنا
deacon,الشماس
olga,أولغا
soaked,غارقة
yuck,مقرف
shorty,قليل
nköö,نكو
prostitutes,البغايا
cherish,يعتز
logs,سجلات
takin,تاكين
sponge,اسفنجة
bates,بيتس
cuffs,الأصفاد
unity,الوحدة
coop,حظيرة
forge,صياغة
morse,مورس
guru,المعلم
tai,تاي
dev,ديف
calf,عجل
oof,أوه
homosexual,مثلي الجنس
vijay,فيجاي
shapes,الأشكال
idle,عاطل
slaughtered,ذبح
resent,مستاء
riddle,لغز
ghetto,غيتو
sunglasses,نظارات شمسية
vega,فيغا
newest,الأحدث
valve,صمام
geek,المهوس
fucks,الملاعين
pies,فطائر
douche,نضح
conducting,إجراء
frankenstein,فرانكشتاين
wei,وي
liang,ليانغ
burglar,لص
norway,النرويج
crops,المحاصيل
infant,رضيع
falcon,الصقر
encountered,مواجهة
alberto,ألبرتو
corey,كوري
scope,نِطَاق
orgasm,هزة الجماع
byron,بايرون
gravy,المرق
calculations,الحسابات
vocal,صوتي
hating,كره
novels,روايات
mindy,ميندي
boiled,مغلي
kindergarten,روضة أطفال
fades,يتلاشى
anders,أندرس
fi,فاي
devastating,وخيم
bea,bea
interfering,التدخل
ops,مكتب خدمات المشاريع
cuz,كوز
holden,هولدن
suited,مناسبة
hayley,هايلي
affirmative,إيجابي
shoo,shoo
wales,ويلز
adapt,يتكيف
renee,رينيه
mal,مال
blacks,السود
prostitution,بغاء
buenos,بوينس
diapers,حفاضات
courthouse,قاعة المحكمة
tong,ملقط
cubs,اشبال
monte,مونتي
stocks,الأسهم
denmark,الدنمارك
acquainted,مطلع
meow,مواء
appearances,المظاهر
loft,دور علوي
snitch,واش
ribbon,الشريط
dares,يجرؤ
fallon,فالون
coolest,أروع
decency,الحشمة
mayday,مايو يوم
buckle,مشبك
vanity,غرور
docks,الاحواض
lopez,لوبيز
alleged,المزعوم
asap,في اسرع وقت ممكن
preparations,الاستعدادات
bugging,التنصت
cuckoo,الوقواق
crib,سرير
yogurt,زبادي
nixon,نيكسون
fishy,مريب
flick,نفض الغبار
muffin,مافن
hale,هيل
tailor,خياط
chimney,مدخنة
nuns,الراهبات
ezra,عزرا
packet,حزمة
daniels,دانيلز
blouse,بلوزة
kite,طائرة ورقية
